Class,LCOM,DIT,IFANIN,CBO,NOC,RFC,NIM,NIV,WMC,bug
IO,50,1,1,1,0,4,2,2,2,0
irr::core::array,66,0,0,0,0,30,30,7,30,0
irr::core::string,42,0,0,0,0,41,41,3,41,0
irr::io::CFileReadCallBack,33,1,1,0,0,9,6,3,6,0
irr::io::CXMLReaderImpl,86,2,1,3,0,52,35,12,35,0
irr::io::IFileReadCallBack,0,0,0,0,2,3,3,0,3,0
irr::io::IIrrXMLReader,0,1,1,0,1,17,17,0,17,0
irr::io::IXMLBase,0,0,0,0,0,0,0,0,0,0
ivec4,4,0,0,0,0,24,24,1,24,0
ivec4,12,0,0,0,0,24,24,1,24,0
ivec4,4,0,0,1,0,24,24,1,24,0
ivec8,8,0,0,1,0,12,12,1,12,0
cl::Buffer,0,2,1,2,2,27,8,0,8,0
cl::BufferGL,0,3,1,1,0,34,7,0,7,0
cl::BufferRenderGL,0,3,1,2,0,34,7,0,7,0
cl::CommandQueue,97,1,1,11,0,45,33,0,34,0
cl::Context,92,1,1,5,0,24,12,0,13,0
cl::detail::KernelFunctorGlobal,0,0,0,6,0,3,3,1,3,0
cl::detail::NullType,0,0,0,0,0,0,0,0,0,0
cl::detail::Wrapper,0,0,0,1,0,10,10,1,10,0
cl::detail::Wrapper,22,0,0,1,9,11,10,2,11,0
cl::Device,0,1,1,2,0,19,7,0,8,0
cl::Error,50,1,1,0,0,5,4,2,4,0
cl::Event,0,1,1,2,0,23,11,0,12,0
cl::Image,0,2,1,1,2,26,7,0,7,0
cl::Image2D,0,3,1,2,1,32,6,0,6,0
cl::Image2DGL,0,4,1,1,0,38,6,0,6,0
cl::Image3D,0,3,1,2,1,32,6,0,6,0
cl::Image3DGL,0,4,1,1,0,38,6,0,6,0
cl::Kernel,0,1,1,4,0,24,13,0,13,0
cl::Memory,0,1,1,1,2,19,8,0,8,0
cl::NDRange,16,0,0,1,0,6,6,2,6,0
cl::Platform,0,1,1,2,0,23,8,0,12,0
cl::Program,0,1,1,6,0,29,18,0,18,0
cl::Sampler,0,1,1,2,0,20,9,0,9,0
cl::size_t,0,0,0,0,0,5,5,1,5,0
CSHA1,82,0,0,2,0,10,10,8,10,0
CudaCMAPTorsionForceInfo,0,1,1,2,0,9,4,1,4,0
CudaCustomAngleForceInfo,0,1,1,2,0,9,4,1,4,0
CudaCustomBondForceInfo,0,1,1,2,0,9,4,1,4,0
CudaCustomCentroidBondForceInfo,0,1,1,2,0,9,4,1,4,0
CudaCustomCompoundBondForceInfo,0,1,1,2,0,9,4,1,4,0
CudaCustomExternalForceInfo,0,1,1,2,0,7,2,2,2,0
CudaCustomGBForceInfo,19,1,1,2,0,10,5,1,5,0
CudaCustomHbondForceInfo,19,1,1,2,0,10,5,1,5,0
CudaCustomManyParticleForceInfo,19,1,1,2,0,10,5,1,5,0
CudaCustomNonbondedForceInfo,40,1,1,2,0,10,5,2,5,0
CudaCustomTorsionForceInfo,0,1,1,2,0,9,4,1,4,0
CudaDrudeForceInfo,0,1,1,2,0,9,4,1,4,0
CudaGayBerneForceInfo,0,1,1,2,0,10,5,1,5,0
CudaGBSAOBCForceInfo,0,1,1,1,0,7,2,1,2,0
CudaHarmonicAngleForceInfo,0,1,1,2,0,9,4,1,4,0
CudaHarmonicBondForceInfo,0,1,1,2,0,9,4,1,4,0
CudaNonbondedForceInfo,0,1,1,2,0,10,5,1,5,0
CudaPeriodicTorsionForceInfo,0,1,1,2,0,9,4,1,4,0
CudaRBTorsionForceInfo,0,1,1,2,0,9,4,1,4,0
ExampleFunction,0,1,1,0,0,9,4,0,4,0
ExtractMatrixTask,0,1,1,2,0,3,2,10,2,0
OpenCLCMAPTorsionForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLCustomAngleForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLCustomBondForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLCustomCentroidBondForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLCustomCompoundBondForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLCustomExternalForceInfo,0,1,1,2,0,9,2,2,2,0
OpenCLCustomGBForceInfo,19,1,1,2,0,12,5,1,5,0
OpenCLCustomHbondForceInfo,19,1,1,2,0,12,5,1,5,0
OpenCLCustomManyParticleForceInfo,19,1,1,2,0,12,5,1,5,0
OpenCLCustomNonbondedForceInfo,40,1,1,2,0,12,5,2,5,0
OpenCLCustomTorsionForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLDrudeForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLGayBerneForceInfo,0,1,1,2,0,12,5,1,5,0
OpenCLGBSAOBCForceInfo,0,1,1,1,0,9,2,1,2,0
OpenCLHarmonicAngleForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLHarmonicBondForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLNonbondedForceInfo,0,1,1,2,0,12,5,1,5,0
OpenCLPeriodicTorsionForceInfo,0,1,1,2,0,11,4,1,4,0
OpenCLRBTorsionForceInfo,0,1,1,2,0,11,4,1,4,0
OpenMM::AlignedArray,55,0,0,0,0,9,9,3,9,0
OpenMM::AmoebaAngleForce,81,1,1,3,0,26,17,6,17,0
OpenMM::AmoebaAngleForce::AngleInfo,0,0,0,0,0,2,2,5,2,0
OpenMM::AmoebaAngleForceImpl,50,1,1,7,0,17,9,2,9,0
OpenMM::AmoebaAngleForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaBondForce,73,1,1,4,0,22,13,4,13,0
OpenMM::AmoebaBondForce::BondInfo,0,0,0,0,0,2,2,4,2,0
OpenMM::AmoebaBondForceImpl,50,1,1,8,0,18,10,2,10,0
OpenMM::AmoebaBondForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaCudaKernelFactory,0,1,1,28,0,3,1,0,1,0
OpenMM::AmoebaGeneralizedKirkwoodForce,83,1,1,4,0,27,18,7,18,0
OpenMM::AmoebaGeneralizedKirkwoodForce::ParticleInfo,0,0,0,0,0,2,2,3,2,0
OpenMM::AmoebaGeneralizedKirkwoodForceImpl,44,1,1,9,0,17,9,2,9,0
OpenMM::AmoebaGeneralizedKirkwoodForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaInPlaneAngleForce,80,1,1,4,0,26,17,6,17,0
OpenMM::AmoebaInPlaneAngleForce::AngleInfo,0,0,0,0,0,2,2,6,2,0
OpenMM::AmoebaInPlaneAngleForceImpl,50,1,1,7,0,17,9,2,9,0
OpenMM::AmoebaInPlaneAngleForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaMultipoleForce,91,1,1,5,0,50,41,15,41,0
OpenMM::AmoebaMultipoleForce::MultipoleInfo,4,0,0,2,0,2,2,11,2,0
OpenMM::AmoebaMultipoleForceImpl,79,1,1,11,0,29,18,2,21,0
OpenMM::AmoebaMultipoleForceProxy,0,1,1,6,0,17,3,0,3,0
OpenMM::AmoebaOutOfPlaneBendForce,80,1,1,4,0,26,17,6,17,0
OpenMM::AmoebaOutOfPlaneBendForce::OutOfPlaneBendInfo,0,0,0,0,0,2,2,5,2,0
OpenMM::AmoebaOutOfPlaneBendForceImpl,50,1,1,7,0,17,9,2,9,0
OpenMM::AmoebaOutOfPlaneBendForceProxy,0,1,1,4,0,17,3,0,3,0
OpenMM::AmoebaPiTorsionForce,55,1,1,4,0,18,9,2,9,0
OpenMM::AmoebaPiTorsionForce::PiTorsionInfo,0,0,0,0,0,2,2,7,2,0
