Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
atom_vec_charge_kokkos.cpp,1.0,22.0,0.0,188.0,1237.0,97.0,4.0,4.0,4.0,1.0,23.0,1.0,22.0,0.0,0.0,52.0,1522.0,188.0,1226.0,382.0,732.0,97.0,0.0,11.0,789.0,1013.0,263.0,0.0,750.0,18.0,18.0,18.0,1.0,4.0,0.08,192.0,192.0,195.0,52.0,0.0
pair_lj_cut_kokkos.cpp,3.0,17.0,1.0,51.0,215.0,33.0,4.0,4.0,4.0,1.0,21.0,3.0,17.0,1.0,0.0,10.0,299.0,51.0,191.0,41.0,136.0,33.0,1.0,23.0,118.0,151.0,25.0,0.0,126.0,11.0,11.0,14.0,1.0,2.0,0.17,36.0,36.0,43.0,10.0,0.0
green.cpp,7.0,30.0,2.0,43.0,156.0,51.0,6.0,6.0,6.0,1.0,38.0,7.0,30.0,2.0,0.0,5.0,250.0,43.0,149.0,40.0,117.0,51.0,0.0,7.0,152.0,181.0,39.0,0.0,142.0,11.0,11.0,11.0,5.0,4.0,0.34,29.0,29.0,31.0,9.0,1.0
fix_rigid_small_omp.cpp,23.0,100.0,15.0,112.0,419.0,88.0,16.0,16.0,16.0,4.0,137.0,23.0,93.0,15.0,0.0,4.0,615.0,112.0,380.0,118.0,288.0,88.0,9.0,38.0,314.0,376.0,120.0,0.0,256.0,26.0,26.0,26.0,6.0,4.0,0.23,63.0,63.0,65.0,16.0,1.0
improper_class2_omp.cpp,26.0,124.0,15.0,112.0,510.0,79.0,18.0,18.0,20.0,1.0,164.0,26.0,123.0,15.0,0.0,4.0,700.0,112.0,495.0,52.0,413.0,79.0,1.0,15.0,384.0,456.0,49.0,0.0,407.0,43.0,43.0,47.0,3.0,4.0,0.16,71.0,71.0,80.0,6.0,1.0
pair_peri_eps.cpp,9.0,33.0,3.0,175.0,546.0,105.0,6.0,6.0,7.0,1.0,45.0,9.0,33.0,3.0,0.0,16.0,826.0,175.0,528.0,131.0,421.0,105.0,0.0,18.0,423.0,519.0,124.0,0.0,395.0,37.0,37.0,41.0,5.0,4.0,0.2,100.0,100.0,110.0,27.0,1.0
fix_nve_line.cpp,4.0,18.0,2.0,33.0,101.0,28.0,4.0,4.0,4.0,1.0,24.0,4.0,18.0,2.0,0.0,5.0,161.0,33.0,91.0,37.0,67.0,28.0,0.0,10.0,71.0,93.0,38.0,0.0,55.0,6.0,6.0,6.0,1.0,3.0,0.31,19.0,19.0,19.0,5.0,1.0
random_mars.cpp,1.0,19.0,0.0,15.0,79.0,22.0,4.0,4.0,5.0,1.0,20.0,1.0,19.0,0.0,0.0,4.0,116.0,15.0,76.0,10.0,56.0,22.0,0.0,3.0,58.0,75.0,10.0,0.0,65.0,6.0,6.0,6.0,1.0,3.0,0.29,16.0,16.0,18.0,4.0,1.0
min_quickmin.cpp,7.0,27.0,3.0,50.0,149.0,41.0,7.0,7.0,7.0,2.0,37.0,7.0,27.0,3.0,0.0,5.0,240.0,50.0,137.0,28.0,103.0,41.0,0.0,12.0,100.0,135.0,29.0,0.0,106.0,29.0,29.0,30.0,10.0,4.0,0.3,36.0,36.0,37.0,14.0,1.0
compute_pe_atom.cpp,4.0,18.0,2.0,38.0,125.0,32.0,7.0,7.0,8.0,1.0,24.0,4.0,18.0,2.0,0.0,6.0,195.0,38.0,111.0,25.0,78.0,32.0,0.0,14.0,88.0,128.0,24.0,0.0,104.0,23.0,23.0,32.0,1.0,3.0,0.29,39.0,39.0,48.0,6.0,1.0
pair_born_gpu.cpp,2.0,20.0,0.0,35.0,182.0,29.0,3.0,3.0,4.0,1.0,22.0,2.0,20.0,0.0,0.0,7.0,246.0,35.0,163.0,60.0,99.0,29.0,0.0,19.0,92.0,116.0,36.0,0.0,80.0,8.0,8.0,10.0,1.0,4.0,0.18,23.0,23.0,26.0,7.0,1.0
velocity.cpp,9.0,46.0,5.0,138.0,583.0,106.0,17.0,17.0,18.0,1.0,61.0,9.0,46.0,5.0,0.0,12.0,827.0,138.0,559.0,85.0,455.0,106.0,0.0,24.0,402.0,607.0,86.0,0.0,521.0,65.0,65.0,74.0,9.0,5.0,0.19,206.0,206.0,219.0,20.0,1.0
pair_lj_charmm_coul_charmm_implicit.cpp,6.0,54.0,0.0,26.0,169.0,16.0,9.0,9.0,10.0,1.0,60.0,6.0,54.0,0.0,0.0,3.0,211.0,26.0,163.0,26.0,126.0,16.0,0.0,6.0,101.0,129.0,20.0,0.0,109.0,17.0,17.0,19.0,1.0,6.0,0.1,27.0,27.0,29.0,3.0,1.0
compute_pe_cuda.cpp,0.0,5.0,0.0,5.0,21.0,35.0,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,0.0,1.0,61.0,5.0,6.0,3.0,1.0,35.0,0.0,15.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,5.83,1.0,1.0,1.0,1.0,1.0
dihedral_charmm.cpp,6.0,33.0,1.0,79.0,313.0,47.0,5.0,5.0,7.0,1.0,41.0,6.0,33.0,1.0,0.0,9.0,439.0,79.0,298.0,44.0,237.0,47.0,0.0,15.0,230.0,280.0,45.0,0.0,235.0,25.0,25.0,34.0,1.0,3.0,0.16,48.0,48.0,62.0,9.0,1.0
