Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
pair_tersoff_omp.cpp,10.0,42.0,3.0,51.0,178.0,25.0,8.0,8.0,9.0,5.0,54.0,10.0,41.0,3.0,0.0,4.0,251.0,51.0,167.0,28.0,128.0,25.0,1.0,11.0,139.0,170.0,26.0,0.0,144.0,22.0,22.0,25.0,19.0,4.0,0.15,30.0,30.0,34.0,22.0,1.0
compute_temp_com.cpp,1.0,12.0,0.0,40.0,147.0,33.0,3.0,3.0,3.0,1.0,14.0,1.0,12.0,0.0,0.0,11.0,220.0,40.0,136.0,43.0,93.0,33.0,0.0,11.0,98.0,129.0,42.0,0.0,87.0,7.0,7.0,7.0,1.0,3.0,0.24,30.0,30.0,31.0,11.0,1.0
fix_gle.cpp,3.0,18.0,2.0,155.0,600.0,122.0,5.0,5.0,5.0,1.0,23.0,3.0,18.0,2.0,0.0,31.0,875.0,155.0,550.0,144.0,379.0,122.0,13.0,37.0,458.0,609.0,144.0,0.0,465.0,32.0,32.0,34.0,8.0,6.0,0.22,154.0,154.0,159.0,38.0,1.0
sna.cpp,6.0,39.0,4.0,293.0,1371.0,305.0,7.0,7.0,8.0,1.0,49.0,6.0,37.0,4.0,0.0,35.0,1952.0,293.0,1291.0,437.0,1034.0,305.0,33.0,52.0,842.0,1066.0,262.0,0.0,804.0,32.0,32.0,32.0,7.0,7.0,0.24,260.0,260.0,263.0,55.0,1.0
fix_addtorque.cpp,2.0,17.0,1.0,44.0,209.0,37.0,4.0,4.0,4.0,1.0,20.0,2.0,17.0,1.0,0.0,11.0,290.0,44.0,195.0,34.0,142.0,37.0,0.0,14.0,130.0,172.0,34.0,0.0,138.0,12.0,12.0,14.0,1.0,3.0,0.19,40.0,40.0,42.0,11.0,1.0
pair_dpd_gpu.cpp,3.0,26.0,2.0,45.0,310.0,59.0,4.0,4.0,5.0,1.0,31.0,3.0,26.0,2.0,0.0,6.0,410.0,45.0,182.0,65.0,120.0,59.0,70.0,128.0,131.0,156.0,46.0,1.0,109.0,8.0,8.0,10.0,5.0,4.0,0.32,24.0,24.0,27.0,10.0,1.0
fix_rigid_nh.cpp,10.0,41.0,4.0,285.0,974.0,144.0,9.0,9.0,12.0,1.0,55.0,10.0,41.0,4.0,0.0,23.0,1397.0,285.0,955.0,113.0,760.0,144.0,0.0,19.0,684.0,901.0,113.0,0.0,788.0,32.0,32.0,72.0,6.0,4.0,0.15,217.0,217.0,285.0,30.0,1.0
dihedral_harmonic_omp.cpp,15.0,61.0,2.0,53.0,196.0,24.0,9.0,9.0,11.0,1.0,77.0,15.0,60.0,2.0,0.0,3.0,272.0,53.0,181.0,24.0,143.0,24.0,1.0,15.0,135.0,162.0,22.0,0.0,140.0,17.0,17.0,22.0,1.0,4.0,0.13,26.0,26.0,32.0,3.0,1.0
reaxc_io_tools.cpp,3.0,21.0,1.0,107.0,437.0,38.0,4.0,4.0,4.0,1.0,25.0,3.0,21.0,1.0,0.0,20.0,581.0,107.0,428.0,89.0,282.0,38.0,0.0,9.0,246.0,316.0,75.0,0.0,241.0,8.0,8.0,11.0,8.0,4.0,0.09,70.0,70.0,81.0,27.0,1.0
fix_lb_fluid.cpp,13.0,89.0,9.0,421.0,2589.0,362.0,14.0,14.0,16.0,1.0,111.0,13.0,89.0,9.0,0.0,29.0,3368.0,421.0,2571.0,196.0,2127.0,362.0,0.0,18.0,2420.0,2839.0,196.0,0.0,2643.0,58.0,58.0,65.0,1.0,7.0,0.14,417.0,417.0,474.0,29.0,1.0
pair_lj_cut_coul_debye_gpu.cpp,3.0,26.0,0.0,37.0,201.0,28.0,5.0,5.0,5.0,1.0,30.0,3.0,26.0,0.0,0.0,6.0,266.0,37.0,182.0,65.0,118.0,28.0,0.0,19.0,104.0,132.0,37.0,0.0,95.0,10.0,10.0,11.0,1.0,5.0,0.15,27.0,27.0,30.0,6.0,1.0
respa.cpp,7.0,35.0,4.0,114.0,483.0,100.0,13.0,13.0,18.0,1.0,46.0,7.0,35.0,4.0,0.0,13.0,697.0,114.0,460.0,45.0,379.0,100.0,0.0,23.0,313.0,481.0,45.0,0.0,436.0,71.0,71.0,104.0,1.0,5.0,0.22,167.0,167.0,237.0,13.0,1.0
pair_lubricateU.cpp,18.0,49.0,9.0,505.0,1245.0,322.0,8.0,8.0,9.0,1.0,75.0,18.0,49.0,9.0,0.0,25.0,2061.0,505.0,1220.0,208.0,972.0,322.0,0.0,25.0,1019.0,1228.0,206.0,0.0,1022.0,25.0,25.0,32.0,3.0,5.0,0.26,210.0,210.0,237.0,31.0,1.0
fix_rigid_npt_omp.cpp,15.0,49.0,11.0,20.0,55.0,29.0,11.0,11.0,19.0,1.0,75.0,15.0,49.0,11.0,0.0,1.0,104.0,20.0,50.0,5.0,45.0,29.0,0.0,5.0,41.0,53.0,4.0,0.0,49.0,11.0,11.0,19.0,1.0,1.0,0.58,11.0,11.0,19.0,1.0,1.0
modify.cpp,2.0,13.0,1.0,241.0,775.0,280.0,4.0,4.0,5.0,1.0,16.0,2.0,13.0,1.0,0.0,58.0,1295.0,241.0,746.0,185.0,502.0,280.0,0.0,29.0,557.0,809.0,181.0,0.0,628.0,38.0,38.0,46.0,6.0,4.0,0.38,251.0,251.0,267.0,73.0,1.0
dump_image.cpp,12.0,79.0,4.0,162.0,893.0,80.0,26.0,26.0,29.0,2.0,95.0,12.0,79.0,4.0,0.0,11.0,1135.0,162.0,870.0,110.0,737.0,80.0,0.0,23.0,684.0,962.0,109.0,2.0,851.0,108.0,108.0,128.0,10.0,5.0,0.09,289.0,289.0,317.0,28.0,1.0
neigh_full_omp.cpp,18.0,90.0,5.0,100.0,460.0,62.0,20.0,20.0,22.0,8.0,113.0,18.0,87.0,5.0,0.0,5.0,622.0,100.0,434.0,134.0,353.0,62.0,5.0,26.0,371.0,462.0,155.0,10.0,297.0,24.0,24.0,31.0,12.0,7.0,0.14,99.0,99.0,112.0,40.0,1.0
fix_nh_sphere_omp.cpp,3.0,21.0,2.0,24.0,97.0,32.0,5.0,5.0,5.0,1.0,26.0,3.0,19.0,2.0,0.0,4.0,152.0,24.0,80.0,30.0,43.0,32.0,3.0,17.0,57.0,75.0,31.0,0.0,44.0,8.0,8.0,8.0,1.0,3.0,0.4,18.0,18.0,18.0,4.0,1.0
