Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
atom_vec_atomic_kokkos.cpp,1.0,22.0,0.0,163.0,1148.0,86.0,4.0,4.0,4.0,1.0,24.0,1.0,22.0,0.0,0.0,47.0,1397.0,163.0,1137.0,353.0,683.0,86.0,0.0,11.0,734.0,941.0,246.0,0.0,695.0,16.0,16.0,16.0,1.0,4.0,0.08,180.0,180.0,183.0,47.0,1.0
pair_lj_cut_kokkos.cpp,2.0,15.0,0.0,47.0,193.0,32.0,3.0,3.0,4.0,1.0,18.0,2.0,15.0,0.0,0.0,10.0,272.0,47.0,169.0,41.0,118.0,32.0,1.0,23.0,104.0,133.0,25.0,0.0,108.0,9.0,9.0,12.0,1.0,2.0,0.19,32.0,32.0,39.0,10.0,1.0
pair_lj_sdk_coul_long_gpu.cpp,5.0,36.0,1.0,51.0,271.0,30.0,7.0,7.0,8.0,1.0,42.0,5.0,36.0,1.0,0.0,6.0,352.0,51.0,243.0,93.0,173.0,30.0,0.0,28.0,142.0,186.0,66.0,0.0,120.0,21.0,21.0,22.0,1.0,7.0,0.12,42.0,42.0,46.0,6.0,1.0
pair_lj_cut_tip4p_long_soft.cpp,7.0,36.0,2.0,104.0,419.0,69.0,6.0,6.0,7.0,1.0,45.0,7.0,36.0,2.0,0.0,11.0,592.0,104.0,393.0,48.0,324.0,69.0,0.0,26.0,301.0,369.0,46.0,0.0,323.0,34.0,34.0,40.0,10.0,7.0,0.18,67.0,67.0,78.0,20.0,1.0
fix_nve_asphere_noforce.cpp,5.0,17.0,3.0,23.0,63.0,23.0,4.0,4.0,4.0,1.0,24.0,5.0,17.0,3.0,0.0,3.0,109.0,23.0,52.0,20.0,35.0,23.0,0.0,11.0,38.0,52.0,20.0,0.0,32.0,5.0,5.0,5.0,1.0,3.0,0.44,12.0,12.0,12.0,3.0,1.0
pair_lj_cut_intel.cpp,5.0,46.0,1.0,53.0,339.0,25.0,10.0,10.0,11.0,1.0,52.0,5.0,41.0,1.0,0.0,7.0,412.0,53.0,291.0,88.0,192.0,24.0,15.0,41.0,242.0,311.0,82.0,10.0,219.0,38.0,38.0,44.0,1.0,6.0,0.08,68.0,68.0,79.0,7.0,1.0
dump_cfg_mpiio.cpp,6.0,26.0,4.0,88.0,361.0,79.0,4.0,4.0,5.0,1.0,34.0,6.0,22.0,3.0,0.0,8.0,507.0,70.0,174.0,26.0,129.0,50.0,177.0,48.0,116.0,150.0,26.0,0.0,124.0,9.0,9.0,12.0,1.0,2.0,0.29,33.0,33.0,37.0,8.0,1.0
pair_tersoff_table_omp.cpp,17.0,50.0,3.0,139.0,371.0,40.0,4.0,4.0,4.0,3.0,70.0,17.0,50.0,3.0,0.0,7.0,544.0,139.0,352.0,53.0,290.0,40.0,1.0,19.0,309.0,340.0,51.0,0.0,289.0,20.0,20.0,20.0,17.0,4.0,0.11,30.0,30.0,31.0,23.0,1.0
pair_sph_rhosum.cpp,3.0,16.0,3.0,61.0,187.0,65.0,4.0,4.0,4.0,1.0,22.0,3.0,16.0,3.0,0.0,11.0,313.0,61.0,174.0,37.0,120.0,65.0,0.0,13.0,119.0,158.0,35.0,0.0,123.0,16.0,16.0,18.0,1.0,6.0,0.37,39.0,39.0,41.0,11.0,1.0
compute_ke_rigid.cpp,1.0,8.0,0.0,15.0,44.0,16.0,3.0,3.0,3.0,1.0,10.0,1.0,8.0,0.0,0.0,4.0,75.0,15.0,34.0,8.0,20.0,16.0,0.0,10.0,19.0,31.0,7.0,0.0,24.0,5.0,5.0,5.0,1.0,1.0,0.47,11.0,11.0,11.0,4.0,1.0
fix_msst.cpp,6.0,29.0,2.0,187.0,657.0,116.0,7.0,7.0,7.0,1.0,38.0,6.0,29.0,2.0,0.0,22.0,959.0,187.0,641.0,118.0,501.0,116.0,0.0,16.0,437.0,582.0,113.0,0.0,469.0,31.0,31.0,32.0,5.0,4.0,0.18,143.0,143.0,153.0,28.0,1.0
pair_buck_long_coul_long_omp.cpp,9.0,114.0,6.0,105.0,1047.0,76.0,31.0,31.0,33.0,2.0,123.0,9.0,113.0,6.0,0.0,9.0,1175.0,105.0,1019.0,182.0,795.0,76.0,4.0,28.0,589.0,865.0,172.0,4.0,689.0,97.0,97.0,98.0,5.0,7.0,0.07,283.0,283.0,298.0,22.0,1.0
citeme.cpp,2.0,11.0,0.0,15.0,43.0,19.0,4.0,4.0,4.0,2.0,12.0,2.0,11.0,0.0,0.0,3.0,77.0,15.0,39.0,10.0,26.0,19.0,0.0,4.0,20.0,32.0,6.0,0.0,26.0,5.0,5.0,6.0,5.0,2.0,0.49,11.0,11.0,12.0,7.0,1.0
reader.cpp,1.0,12.0,0.0,12.0,42.0,21.0,3.0,3.0,3.0,1.0,14.0,1.0,9.0,0.0,0.0,3.0,75.0,10.0,28.0,6.0,15.0,21.0,9.0,10.0,15.0,25.0,6.0,0.0,19.0,5.0,5.0,6.0,1.0,1.0,0.75,9.0,9.0,10.0,3.0,1.0
atom_vec_body.cpp,2.0,26.0,0.0,180.0,1175.0,177.0,4.0,4.0,4.0,1.0,28.0,2.0,26.0,0.0,0.0,45.0,1532.0,180.0,1155.0,130.0,918.0,177.0,0.0,20.0,914.0,1096.0,125.0,0.0,971.0,13.0,13.0,13.0,1.0,4.0,0.15,181.0,181.0,186.0,45.0,1.0
dynmat.cpp,4.0,33.0,2.0,76.0,461.0,67.0,9.0,9.0,10.0,1.0,39.0,4.0,33.0,2.0,0.0,14.0,602.0,76.0,457.0,100.0,351.0,67.0,0.0,4.0,446.0,573.0,100.0,0.0,473.0,35.0,35.0,40.0,6.0,6.0,0.15,128.0,128.0,134.0,22.0,1.0
pair_nb3b_harmonic_omp.cpp,7.0,33.0,1.0,39.0,143.0,18.0,6.0,6.0,7.0,4.0,41.0,7.0,33.0,1.0,0.0,4.0,199.0,39.0,132.0,26.0,95.0,18.0,1.0,11.0,106.0,129.0,24.0,0.0,105.0,16.0,16.0,19.0,15.0,4.0,0.14,22.0,22.0,26.0,18.0,1.0
