hash,time,message,buggy
eb23260,2015-04-22 15:05:33,Merge remote-tracking branch 'upstream/master',0
71d3361,2015-04-24 00:01:04,Merge remote-tracking branch 'upstream/master',0
896413a,2015-05-12 15:46:18,Merge remote-tracking branch 'upstream/master',0
546ad4c,2015-06-03 16:46:20,Look in cuda dir for opencl headers,0
13d366a,2015-06-03 17:07:10,Merge pull request #948 from mpharrigan/cmake_opencl,0
227c86b,2015-06-04 11:00:00,Merge pull request #950 from swails/topenh,0
8914ab9,2015-06-04 12:24:30,Minor enhancements to Topology,0
e040c5d,2015-06-04 12:41:36,atoms and residues are functions  not descriptors.,0
bf6d95c,2015-06-05 11:26:10,Merge remote-tracking branch 'upstream/master',0
2ad2a75,2015-06-05 11:27:58,Updated linux build/packaging devtools scripts to use CUDA 7.0,0
47b6206,2015-06-05 13:45:14,Make sure RBTorsion parameters are returned with the correct units.,0
cd09831,2015-06-05 17:13:03,Merge pull request #953 from swails/rbunits,0
ec19df0,2015-06-08 10:43:55,Merge pull request #952 from jchodera/update-packaging,0
4200d22,2015-06-08 12:00:56,Fixed a compilation error on some compilers,1
508dab4,2015-06-08 13:15:31,Merge pull request #955 from peastman/definepi,0
ebe68b9,2015-06-09 12:10:26,Fixed a compiler warning,0
d557fa4,2015-06-09 15:59:32,Merge pull request #956 from peastman/nullref,0
47d97e7,2015-06-10 13:32:55,Removed code that disabled OpenCL on OS X packaging.,0
a243850,2015-06-10 14:21:23,Add check for null context inside integrator.step(),0
8be6e84,2015-06-10 14:33:49,Fix more integrators,0
c096fa0,2015-06-10 14:49:59,Merge pull request #959 from kyleabeauchamp/intsegfault,0
1d6f8b1,2015-06-10 16:54:26,Merge pull request #958 from jchodera/update-packaging,0
1c2c170,2015-06-11 17:08:09,Updates to documentation for 6.3,0
f9148a0,2015-06-12 09:28:56,Merge pull request #961 from peastman/docs,0
e537de4,2015-06-12 12:02:54,Fixed a bug in runForClockTime(),1
7881505,2015-06-13 09:55:44,Add travis build matrix for static and dynamic builds.,0
