File,index,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_bugs,keyword_bugs,human_bugs
common_factor_ct.hpp,0,0.0,0.0,0.0,33.0,128.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,26.0,45.0,31.0,7.0,21.0,82.0,18.0,14.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0,0.0,0
math_fwd.hpp,1,0.0,0.0,0.0,45.0,39.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,45.0,31.0,31.0,0.0,27.0,1.0,7.0,13.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0,0.0,0
integral_c.hpp,3,0.0,1.0,0.0,9.0,30.0,13.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,51.0,9.0,11.0,9.0,2.0,12.0,2.0,19.0,6.0,8.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.09,1.0,1.0,1.0,1.0,0,0.0,0
suffix.hpp,4,0.0,0.0,0.0,99.0,501.0,341.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,941.0,97.0,4.0,0.0,0.0,335.0,152.0,477.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.75,0.0,0.0,0.0,0.0,0,0.0,0
genc.c,8,3.0,47.0,4.0,82.0,1047.0,101.0,8.0,6.0,9.0,1.0,53.0,2.0,36.0,3.0,0.0,16.0,1208.0,70.0,589.0,87.0,453.0,79.0,450.0,42.0,355.0,465.0,67.0,1.0,397.0,36.0,36.0,36.0,1.0,4.0,0.13,130.0,92.0,137.0,16.0,4,8.0,4
subdomains_ex3.C,18,6.0,17.0,6.0,45.0,81.0,46.0,1.0,1.0,1.0,1.0,29.0,0.0,5.0,2.0,0.0,4.0,172.0,21.0,21.0,8.0,5.0,28.0,86.0,17.0,9.0,14.0,9.0,0.0,5.0,2.0,2.0,2.0,1.0,0.0,1.33,5.0,5.0,5.0,4.0,9,10.0,10
precond.C,31,4.0,14.0,10.0,17.0,51.0,43.0,1.0,1.0,2.0,1.0,28.0,4.0,14.0,10.0,0.0,3.0,110.0,17.0,43.0,3.0,34.0,43.0,0.0,8.0,25.0,29.0,3.0,0.0,26.0,2.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,5.0,3.0,0,0.0,0
sfc_pres_temp_wr.c,40,19.0,70.0,35.0,26.0,89.0,53.0,22.0,22.0,22.0,18.0,124.0,19.0,70.0,35.0,0.0,1.0,168.0,26.0,70.0,12.0,56.0,53.0,0.0,19.0,77.0,99.0,11.0,17.0,71.0,22.0,22.0,22.0,18.0,2.0,0.76,22.0,22.0,22.0,18.0,4,8.0,4
autoptr.hh,50,0.0,2.0,0.0,9.0,55.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,15.0,66.0,9.0,47.0,26.0,18.0,2.0,3.0,5.0,28.0,45.0,21.0,0.0,24.0,3.0,3.0,3.0,1.0,1.0,0.04,18.0,18.0,18.0,15.0,0,0.0,0
is_floating_point.hpp,51,0.0,0.0,0.0,8.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,8.0,6.0,6.0,0.0,10.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,0.0,0.0,0,0.0,0
