hash,time,message,buggy
2084a6b,2013-09-25 19:01:45,Look for gromacs include directory in a more flexible way,0
0e9144d,2013-09-25 22:47:04,Fix bug in gromacs top file parser where #else preprocessor directives were not being followed,1
4537062,2013-09-26 18:29:10,Fix typo,0
efd3fed,2013-09-26 18:40:33,Add an elseStack,0
167253d,2013-09-26 20:52:00,Merge pull request #149 from rmcgibbo/gmxpath,0
0742628,2013-09-27 07:37:27,Merge pull request #150 from rmcgibbo/gmxbug,0
4ab1376,2013-09-28 17:17:06,ATOM lines should be 80 chars,0
a5e0c8e,2013-09-29 17:37:39,add get_by_atomic_number to element,0
1975b62,2013-09-29 20:04:18,Merge branch 'pdbbug',0
572160e,2013-09-30 12:54:52,Move left by one column,0
7a44101,2013-09-30 12:57:09,Remove the module-level function,0
5bcbbcf,2013-09-30 13:20:35,Merge branch 'pdbbug',0
3ea7265,2013-09-30 13:20:39,Merge branch 'element',0
82cab8d,2013-09-30 14:15:23,Merge pull request #152 from rmcgibbo/pdbbug,0
578e25f,2013-09-30 14:23:21,Merge pull request #153 from rmcgibbo/element,0
e23c002,2013-09-30 16:46:26,Merge branch 'master' of github.com:SimTk/openmm,0
ecd8776,2013-09-30 16:51:31,Add a reader and createSystem interface for Desmond dms files,0
8244403,2013-10-01 13:13:35,Simpler use of quantity,0
2c83421,2013-10-01 13:28:13,reorder the exclusion before the pair_12_6_es_term so simplify code,0
803faa8,2013-10-01 14:38:40,Ignore constraints that connect two massless particles (feature request 1915),0
303e0fe,2013-10-01 14:46:26,intermediate commit  work on virtualsites,0
5a5d895,2013-10-01 15:11:41,Implement virtualsites and better checking of unsupported params/tables,0
622cae1,2013-10-01 15:14:57,Fixed bug in previous commit,1
25ac85a,2013-10-01 15:27:58,Add provenance,0
d26b180,2013-10-01 16:03:16,Merge pull request #154 from rmcgibbo/dms,0
e0966c7,2013-10-01 16:38:49,Merge pull request #155 from peastman/master,0
552544a,2013-10-01 17:14:14,Added unittest and 1 system tests. Includes 1 bugfix to resolving a circular import and 1 bugfix where dms wasn't creating the topology correctly when the water was specified in different chains,0
ee1323b,2013-10-01 18:06:00,Bugfix: dms.positions should be a Quantity(list(Vec3))  not a list(Quantity(Vec3)),0
7cbc52e,2013-10-01 18:08:57,typo: extra s,0
45f3165,2013-10-01 20:05:39,same fix about list(quantity) vs quantity(list) for unitcell dimensions,0
25d8559,2013-10-01 22:41:25,Fix to PR #152,0
f00953b,2013-10-02 09:27:48,Merge pull request #158 from rmcgibbo/pdbbug-bugfix,0
e16ffac,2013-10-02 09:34:34,Merge pull request #156 from rmcgibbo/dmstests,0
a402cf1,2013-10-02 14:10:44,Python records where OpenMM is installed  so it doesn't need to be specified with environment variables at runtime,0
bb8c2c6,2013-10-07 12:34:11,Created reference implementation of SETTLE,0
1d93120,2013-10-07 12:34:58,Merge pull request #161 from peastman/master,0
3e36fd7,2013-10-08 10:49:00,Added option to omit PILE thermostat from RPMD,0
bf8db55,2013-10-08 10:53:17,Merge pull request #162 from peastman/master,0
e68df53,2013-10-08 14:47:14,Lots of code cleanup related to constraints in the reference platform,0
64b39ff,2013-10-08 14:47:54,Merge pull request #164 from peastman/master,0
d6d7919,2013-10-08 15:15:59,Made identification of plugin directory slightly more robust,0
48dc97b,2013-10-08 15:16:46,Merge pull request #159 from peastman/install,0
