Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
fparser_ad.cc,2.0,11.0,2.0,118.0,736.0,97.0,3.0,2.0,3.0,2.0,14.0,2.0,11.0,2.0,4.0,28.0,949.0,80.0,335.0,105.0,197.0,64.0,442.0,50.0,168.0,248.0,67.0,0.0,181.0,50.0,19.0,51.0,33.0,4.0,0.19,86.0,55.0,92.0,62.0,1.0
fparser.cc,2.0,22.0,3.0,422.0,3086.0,457.0,8.0,5.0,9.0,4.0,26.0,2.0,20.0,3.0,0.0,90.0,3873.0,355.0,1993.0,476.0,1243.0,373.0,1082.0,237.0,979.0,1574.0,237.0,10.0,1327.0,121.0,84.0,142.0,121.0,6.0,0.19,707.0,457.0,785.0,437.0,1.0
eigen_gen_credits.cpp,4.0,22.0,3.0,36.0,168.0,29.0,5.0,5.0,5.0,2.0,29.0,4.0,22.0,3.0,0.0,7.0,232.0,36.0,161.0,38.0,96.0,29.0,0.0,7.0,99.0,134.0,39.0,0.0,95.0,11.0,11.0,12.0,6.0,2.0,0.18,34.0,34.0,37.0,16.0,1.0
FFT.cpp,0.0,7.0,0.0,17.0,97.0,4.0,1.0,1.0,1.0,1.0,7.0,0.0,7.0,0.0,0.0,11.0,118.0,17.0,87.0,34.0,37.0,4.0,1.0,10.0,50.0,68.0,27.0,0.0,41.0,2.0,2.0,2.0,1.0,1.0,0.05,16.0,16.0,16.0,11.0,1.0
matrix_exponential.cpp,2.0,15.0,1.0,20.0,110.0,12.0,2.0,2.0,2.0,1.0,17.0,2.0,15.0,1.0,0.0,7.0,141.0,20.0,109.0,27.0,73.0,12.0,0.0,1.0,84.0,100.0,23.0,0.0,77.0,5.0,5.0,5.0,1.0,3.0,0.11,15.0,15.0,15.0,7.0,1.0
test_boost.cc,2.0,9.0,1.0,12.0,37.0,19.0,2.0,2.0,2.0,1.0,11.0,2.0,9.0,1.0,0.0,2.0,64.0,12.0,19.0,7.0,8.0,19.0,0.0,18.0,12.0,15.0,7.0,0.0,8.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0
bench_svd.cpp,9.0,34.0,1.0,27.0,80.0,16.0,5.0,5.0,5.0,1.0,44.0,9.0,34.0,1.0,0.0,2.0,123.0,27.0,71.0,12.0,49.0,16.0,0.0,9.0,54.0,66.0,13.0,0.0,53.0,9.0,9.0,9.0,1.0,2.0,0.23,10.0,10.0,10.0,2.0,1.0
BVH_Example.cpp,1.0,4.0,1.0,10.0,40.0,7.0,1.0,1.0,1.0,1.0,5.0,1.0,4.0,1.0,0.0,7.0,52.0,10.0,37.0,22.0,18.0,7.0,0.0,3.0,33.0,46.0,21.0,0.0,25.0,4.0,4.0,4.0,1.0,2.0,0.19,10.0,10.0,10.0,7.0,0.0
MatrixSinh.cpp,3.0,10.0,2.0,5.0,13.0,2.0,1.0,1.0,1.0,1.0,15.0,3.0,10.0,2.0,0.0,1.0,20.0,5.0,11.0,4.0,7.0,2.0,0.0,2.0,8.0,10.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.18,1.0,1.0,1.0,1.0,0.0
xyzpart.c,23.0,82.0,21.0,130.0,410.0,150.0,30.0,30.0,34.0,3.0,124.0,23.0,82.0,21.0,0.0,5.0,678.0,130.0,409.0,31.0,312.0,150.0,0.0,1.0,466.0,587.0,27.0,54.0,506.0,73.0,73.0,82.0,7.0,5.0,0.37,151.0,151.0,169.0,15.0,0.0
