Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
xyzpart.c,23.0,82.0,21.0,130.0,410.0,150.0,31.0,31.0,34.0,3.0,124.0,23.0,82.0,21.0,0.0,5.0,678.0,130.0,409.0,31.0,312.0,150.0,0.0,1.0,466.0,587.0,27.0,54.0,506.0,73.0,73.0,82.0,7.0,5.0,0.37,153.0,153.0,171.0,15.0,1.0
PolynomialSolver1.cpp,6.0,40.0,0.0,8.0,45.0,0.0,3.0,3.0,3.0,1.0,46.0,6.0,40.0,0.0,0.0,1.0,53.0,8.0,42.0,5.0,34.0,0.0,0.0,3.0,39.0,44.0,7.0,0.0,37.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,1.0
codetree.cc,0.0,7.0,2.0,38.0,356.0,65.0,2.0,2.0,2.0,1.0,9.0,0.0,7.0,2.0,0.0,31.0,456.0,36.0,263.0,121.0,84.0,63.0,71.0,32.0,74.0,147.0,46.0,0.0,101.0,20.0,8.0,20.0,10.0,2.0,0.24,67.0,50.0,68.0,40.0,0.0
example.c,2.0,11.0,0.0,11.0,45.0,9.0,1.0,1.0,1.0,1.0,12.0,2.0,11.0,0.0,0.0,4.0,65.0,11.0,43.0,9.0,27.0,9.0,0.0,2.0,33.0,38.0,9.0,0.0,29.0,2.0,2.0,2.0,1.0,1.0,0.21,5.0,5.0,5.0,4.0,0.0
eigen_gen_credits.cpp,4.0,22.0,3.0,36.0,168.0,29.0,5.0,5.0,5.0,2.0,29.0,4.0,22.0,3.0,0.0,7.0,232.0,36.0,161.0,38.0,96.0,29.0,0.0,7.0,99.0,134.0,39.0,0.0,95.0,11.0,11.0,12.0,6.0,2.0,0.18,34.0,34.0,37.0,16.0,0.0
matrix_exponential.cpp,2.0,15.0,1.0,20.0,110.0,12.0,2.0,2.0,2.0,1.0,17.0,2.0,15.0,1.0,0.0,7.0,141.0,20.0,109.0,27.0,73.0,12.0,0.0,1.0,84.0,100.0,23.0,0.0,77.0,5.0,5.0,5.0,1.0,3.0,0.11,15.0,15.0,15.0,7.0,0.0
fpoptimizer.cc,1.0,24.0,4.0,959.0,10131.0,3446.0,6.0,4.0,7.0,3.0,28.0,1.0,22.0,4.0,12.0,304.0,13261.0,921.0,8875.0,3212.0,5396.0,3387.0,887.0,513.0,4041.0,6166.0,1672.0,110.0,4384.0,242.0,144.0,294.0,173.0,7.0,0.38,1768.0,1273.0,2083.0,1065.0,0.0
MatrixPower_optimal.cpp,1.0,11.0,0.0,3.0,14.0,0.0,1.0,1.0,1.0,1.0,12.0,1.0,11.0,0.0,0.0,1.0,17.0,3.0,12.0,2.0,8.0,0.0,0.0,2.0,5.0,7.0,3.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
test_boost.cc,2.0,9.0,1.0,11.0,32.0,17.0,2.0,2.0,2.0,1.0,11.0,2.0,9.0,1.0,0.0,2.0,56.0,11.0,18.0,7.0,7.0,17.0,0.0,14.0,11.0,14.0,7.0,0.0,7.0,2.0,2.0,2.0,1.0,1.0,0.94,3.0,3.0,3.0,2.0,0.0
PolynomialSolver1.cpp,6.0,40.0,0.0,8.0,45.0,0.0,3.0,3.0,3.0,1.0,46.0,6.0,40.0,0.0,0.0,1.0,53.0,8.0,42.0,5.0,34.0,0.0,0.0,3.0,39.0,44.0,7.0,0.0,37.0,3.0,3.0,3.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,0.0
example.c,2.0,11.0,0.0,11.0,45.0,9.0,1.0,1.0,1.0,1.0,12.0,2.0,11.0,0.0,0.0,4.0,65.0,11.0,43.0,9.0,27.0,9.0,0.0,2.0,33.0,38.0,9.0,0.0,29.0,2.0,2.0,2.0,1.0,1.0,0.21,5.0,5.0,5.0,4.0,1.0
autodiff.cc,6.0,28.0,5.0,16.0,60.0,14.0,2.0,2.0,2.0,1.0,39.0,6.0,20.0,5.0,0.0,2.0,90.0,16.0,39.0,5.0,31.0,14.0,5.0,16.0,34.0,37.0,5.0,0.0,32.0,2.0,2.0,2.0,1.0,1.0,0.36,3.0,3.0,3.0,2.0,1.0
MatrixSinh.cpp,3.0,10.0,2.0,5.0,13.0,2.0,1.0,1.0,1.0,1.0,15.0,3.0,10.0,2.0,0.0,1.0,20.0,5.0,11.0,4.0,7.0,2.0,0.0,2.0,8.0,10.0,5.0,0.0,5.0,1.0,1.0,1.0,1.0,0.0,0.18,1.0,1.0,1.0,1.0,1.0
MatrixExponential.cpp,1.0,10.0,0.0,3.0,13.0,0.0,1.0,1.0,1.0,1.0,11.0,1.0,10.0,0.0,0.0,1.0,16.0,3.0,11.0,3.0,6.0,0.0,0.0,2.0,6.0,8.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
xyzpart.c,23.0,82.0,21.0,130.0,410.0,150.0,31.0,31.0,34.0,3.0,124.0,23.0,82.0,21.0,0.0,5.0,678.0,130.0,409.0,31.0,312.0,150.0,0.0,1.0,466.0,587.0,27.0,54.0,506.0,73.0,73.0,82.0,7.0,5.0,0.37,153.0,153.0,171.0,15.0,1.0
eigen_gen_credits.cpp,4.0,22.0,3.0,36.0,168.0,29.0,5.0,5.0,5.0,2.0,29.0,4.0,22.0,3.0,0.0,7.0,232.0,36.0,161.0,38.0,96.0,29.0,0.0,7.0,99.0,134.0,39.0,0.0,95.0,11.0,11.0,12.0,6.0,2.0,0.18,34.0,34.0,37.0,16.0,1.0
jacobisvd.cpp,2.0,12.0,1.0,43.0,138.0,18.0,1.0,1.0,2.0,1.0,14.0,2.0,11.0,1.0,0.0,11.0,198.0,43.0,130.0,43.0,72.0,17.0,4.0,8.0,69.0,84.0,29.0,0.0,55.0,3.0,3.0,4.0,3.0,1.0,0.13,16.0,16.0,17.0,13.0,1.0
matrix_exponential.cpp,2.0,15.0,1.0,20.0,110.0,12.0,2.0,2.0,2.0,1.0,17.0,2.0,15.0,1.0,0.0,7.0,141.0,20.0,109.0,27.0,73.0,12.0,0.0,1.0,84.0,100.0,23.0,0.0,77.0,5.0,5.0,5.0,1.0,3.0,0.11,15.0,15.0,15.0,7.0,1.0
transformations.cc,4.0,74.0,7.0,63.0,820.0,104.0,11.0,11.0,13.0,5.0,84.0,4.0,67.0,7.0,0.0,10.0,970.0,63.0,736.0,172.0,456.0,104.0,42.0,45.0,387.0,505.0,124.0,9.0,372.0,72.0,69.0,93.0,38.0,7.0,0.14,110.0,107.0,134.0,59.0,1.0
