File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
testsuite/MDAnalysisTests/analysis/test_contacts.py,605118c,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,1.0
testsuite/MDAnalysisTests/analysis/test_contacts.py,c4df4b5,1.0,1.0,1.0,1.0,11.0,2.0,8.0,1.0,1.0,10.0,10.0,164.0,37.0,102.0,32.0,70.0,25.0,0.0,0.0,90.0,23.0,67.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.25,10.0,10.0,10.0,10.0,0.0
package/MDAnalysis/analysis/rms.py,502503a,4.0,4.0,4.0,2.0,45.0,6.0,23.0,21.0,2.0,9.0,8.0,585.0,105.0,201.0,21.0,180.0,280.0,1.0,0.0,148.0,18.0,130.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.39,37.0,37.0,37.0,20.0,1.0
package/MDAnalysis/analysis/rms.py,0b90ebd,4.0,4.0,4.0,2.0,46.0,6.0,23.0,22.0,2.0,9.0,8.0,594.0,105.0,201.0,22.0,179.0,289.0,1.0,0.0,147.0,18.0,129.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.44,39.0,39.0,39.0,20.0,0.0
package/MDAnalysis/analysis/rms.py,0b90ebd,4.0,4.0,4.0,2.0,46.0,6.0,23.0,22.0,2.0,9.0,8.0,594.0,105.0,201.0,22.0,179.0,289.0,1.0,0.0,147.0,18.0,129.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.44,39.0,39.0,39.0,20.0,1.0
package/MDAnalysis/analysis/rms.py,f6e372a,4.0,4.0,4.0,2.0,48.0,6.0,24.0,23.0,2.0,9.0,8.0,614.0,108.0,210.0,22.0,188.0,297.0,1.0,0.0,156.0,18.0,138.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.41,42.0,42.0,42.0,24.0,0.0
testsuite/MDAnalysisTests/analysis/test_align.py,c853f16,1.0,1.0,1.0,1.0,7.0,0.0,6.0,1.0,3.0,17.0,17.0,189.0,28.0,127.0,42.0,82.0,35.0,0.0,0.0,96.0,34.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.28,17.0,17.0,17.0,17.0,1.0
testsuite/MDAnalysisTests/analysis/test_align.py,16fe0f7,1.0,1.0,1.0,1.0,8.0,0.0,6.0,1.0,3.0,17.0,17.0,191.0,28.0,129.0,42.0,84.0,35.0,0.0,0.0,96.0,34.0,62.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.27,17.0,17.0,17.0,17.0,0.0
package/MDAnalysis/analysis/contacts.py,3aacb27,2.0,2.0,2.0,1.0,28.0,3.0,13.0,12.0,3.0,29.0,28.0,1205.0,222.0,399.0,60.0,339.0,601.0,1.0,0.0,336.0,51.0,285.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,5.0,3.0,1.51,77.0,77.0,77.0,46.0,1.0
testsuite/MDAnalysisTests/analysis/test_nuclinfo.py,3aacb27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
package/MDAnalysis/analysis/rms.py,3aacb27,4.0,4.0,4.0,2.0,48.0,6.0,24.0,23.0,2.0,9.0,8.0,614.0,108.0,210.0,22.0,188.0,297.0,1.0,0.0,156.0,18.0,138.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.41,42.0,42.0,42.0,24.0,1.0
testsuite/MDAnalysisTests/analysis/test_rms.py,3aacb27,4.0,4.0,4.0,2.0,48.0,6.0,24.0,23.0,2.0,9.0,8.0,614.0,108.0,210.0,22.0,188.0,297.0,1.0,0.0,156.0,18.0,138.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,6.0,3.0,1.41,42.0,42.0,42.0,24.0,1.0
package/MDAnalysis/coordinates/MOL2.py,3aacb27,2.0,2.0,2.0,1.0,19.0,2.0,13.0,3.0,2.0,10.0,10.0,316.0,56.0,142.0,17.0,125.0,121.0,0.0,0.0,113.0,16.0,97.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.0,3.0,0.85,27.0,27.0,27.0,17.0,1.0
package/MDAnalysis/core/AtomGroup.py,3aacb27,1.0,1.0,1.0,1.0,15.0,2.0,6.0,7.0,8.0,238.0,237.0,5133.0,1015.0,1852.0,439.0,1345.0,2302.0,1.0,0.0,1317.0,287.0,1030.0,1.0,1.0,1.0,1.0,16.0,16.0,16.0,8.0,3.0,1.24,474.0,474.0,474.0,308.0,1.0
package/MDAnalysis/topology/GROParser.py,3aacb27,3.0,3.0,3.0,3.0,37.0,4.0,22.0,11.0,1.0,1.0,1.0,84.0,16.0,30.0,8.0,22.0,38.0,0.0,0.0,28.0,8.0,20.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,1.27,3.0,3.0,3.0,3.0,1.0
