Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Bugs
fix_ave_spatial_sphere.cpp,7.0,61.0,7.0,117.0,825.0,145.0,19.0,19.0,22.0,2.0,73.0,7.0,61.0,7.0,0.0,13.0,1071.0,117.0,804.0,132.0,664.0,145.0,0.0,21.0,561.0,807.0,134.0,0.0,673.0,98.0,98.0,116.0,11.0,6.0,0.18,247.0,247.0,283.0,31.0,1.0
bond_table_omp.cpp,5.0,25.0,1.0,24.0,85.0,20.0,5.0,5.0,6.0,1.0,31.0,5.0,24.0,1.0,0.0,3.0,128.0,24.0,74.0,19.0,46.0,20.0,1.0,11.0,47.0,62.0,17.0,0.0,45.0,8.0,8.0,9.0,1.0,4.0,0.27,14.0,14.0,17.0,3.0,1.0
fix_lb_viscous.cpp,2.0,8.0,0.0,36.0,83.0,27.0,2.0,2.0,2.0,1.0,10.0,2.0,8.0,0.0,0.0,9.0,146.0,36.0,72.0,22.0,38.0,27.0,0.0,11.0,36.0,58.0,22.0,0.0,36.0,7.0,7.0,8.0,1.0,2.0,0.38,20.0,20.0,21.0,9.0,1.0
region_prism.cpp,5.0,24.0,3.0,92.0,316.0,102.0,5.0,5.0,7.0,1.0,31.0,5.0,24.0,3.0,0.0,13.0,510.0,92.0,308.0,42.0,246.0,102.0,0.0,8.0,257.0,321.0,40.0,0.0,281.0,34.0,34.0,54.0,7.0,2.0,0.33,69.0,69.0,94.0,24.0,1.0
compute_stress_atom.cpp,6.0,37.0,4.0,59.0,279.0,49.0,11.0,11.0,12.0,1.0,47.0,6.0,37.0,4.0,0.0,7.0,387.0,59.0,262.0,39.0,210.0,49.0,0.0,17.0,205.0,283.0,38.0,0.0,245.0,51.0,51.0,61.0,1.0,6.0,0.19,77.0,77.0,87.0,7.0,1.0
reaxc_io_tools.cpp,3.0,21.0,1.0,107.0,437.0,38.0,4.0,4.0,4.0,1.0,25.0,3.0,21.0,1.0,0.0,20.0,581.0,107.0,428.0,89.0,282.0,38.0,0.0,9.0,246.0,316.0,75.0,0.0,241.0,8.0,8.0,11.0,8.0,4.0,0.09,70.0,70.0,81.0,27.0,1.0
angle_cosine_squared_omp.cpp,9.0,34.0,2.0,37.0,114.0,23.0,6.0,6.0,7.0,1.0,44.0,9.0,33.0,2.0,0.0,3.0,173.0,37.0,101.0,20.0,70.0,23.0,1.0,13.0,72.0,92.0,19.0,0.0,73.0,9.0,9.0,12.0,1.0,4.0,0.23,18.0,18.0,22.0,3.0,1.0
angle_cosine_shift.cpp,3.0,16.0,1.0,58.0,175.0,41.0,3.0,3.0,4.0,1.0,20.0,3.0,16.0,1.0,0.0,10.0,273.0,58.0,163.0,40.0,120.0,41.0,0.0,12.0,128.0,161.0,42.0,0.0,119.0,11.0,11.0,15.0,1.0,2.0,0.25,31.0,31.0,35.0,10.0,1.0
fix_qeq_point.cpp,4.0,23.0,1.0,36.0,132.0,26.0,5.0,5.0,6.0,1.0,27.0,4.0,23.0,1.0,0.0,5.0,190.0,36.0,114.0,17.0,83.0,26.0,0.0,18.0,81.0,109.0,17.0,0.0,92.0,14.0,14.0,15.0,1.0,7.0,0.23,27.0,27.0,29.0,5.0,1.0
pair_brownian_poly_omp.cpp,15.0,45.0,7.0,90.0,249.0,54.0,7.0,7.0,8.0,1.0,67.0,15.0,45.0,7.0,0.0,5.0,389.0,90.0,229.0,44.0,180.0,54.0,1.0,20.0,173.0,212.0,44.0,0.0,168.0,18.0,18.0,24.0,3.0,5.0,0.24,36.0,36.0,42.0,7.0,1.0
