hash,time,message,buggy
602f7af,2014-10-01 13:15:59,Enable OpenCL on OS X 10.10 and later,0
e299935,2014-10-02 13:59:56,Revised optimization flags on Apple OpenCL,0
fa28374,2014-12-01 16:11:21,Updated API and documentation to permit triclinic boxes,0
e2977b9,2014-12-02 14:33:50,Began implementing triclinic boxes in reference platform,0
9e2b5a1,2014-12-02 17:32:25,Continuing to implement triclinic boxes in reference platform,0
a7ab275,2014-12-03 11:10:25,Fixed uninitialized memory in variable step size integrators,0
b9a19a0,2014-12-06 18:21:10,Fix small bug in unit related to mutable sequences.,1
f7a7f4e,2014-12-07 20:17:19,Fix the mean() and std() methods on container Quantities when those containers are NOT numpy arrays.,0
f976bb3,2014-12-07 20:20:09,Add a set of unittests for the simtk.unit package. Implements most of what I found in doctests.py (and quite a bit more  too),0
f8a101d,2014-12-07 22:07:48,chemistry.unit -> simtk.unit,0
9c6011f,2014-12-09 10:35:33,Implemented PME for triclinic boxes in reference platform,0
4b6f53e,2014-12-10 11:39:54,Began implementing triclinic boxes for CPU platform,0
34ddae9,2014-12-11 14:02:50,ReferenceNeighborList correctly handles triclinic boxes,0
4193a41,2014-12-16 13:59:17,CpuNeighborList correctly handles triclinic boxes,0
78e5f13,2014-12-16 16:50:07,Continuing to implement triclinic boxes in CPU platform,0
b03eebf,2014-12-18 11:47:28,Merge pull request #756 from peastman/variable,0
e68027a,2014-12-18 13:52:52,Optimization to CPU PME,0
11e5dc7,2014-12-18 14:06:47,Merge pull request #758 from peastman/fftw,0
f6aae60,2014-12-18 16:38:46,CPU PME works with triclinic boxes,0
b3bab49,2014-12-19 10:34:35,Use templates to improve performance when not using triclinic boxes,0
4340498,2014-12-25 12:00:54,Merge pull request #750 from swails/fix_unit,0
c7cacc1,2014-12-26 11:28:36,Fix typo.,0
8d15b97,2014-12-26 12:29:50,Merge pull request #759 from swails/master,0
67ad655,2014-12-26 17:21:42,Squash the following warning:,0
19ccd0f,2014-12-28 12:18:01,Merge pull request #760 from swails/master,0
ddbd992,2014-12-29 21:57:37,Add a usesPeriodicBoundaryConditions() method to all of the Force classes and the System. The System inspects all of its forces and calls usePeriodicBoundaryConditions -- it reports 'true' if at least one of its Forces returns 'true' for usesPeriodicBoundaryConditions.,0
c7e17f7,2014-12-29 23:11:54,Add usesPeriodicBoundaryConditions to the plugin Forces.,0
930fb6d,2014-12-29 23:12:38,Do not track the vim swp file.,0
31d0d85,2014-12-30 00:08:29,Add tests for the new usesPeriodicBoundaryConditions API function to the Reference platform.,0
f4af4bb,2014-12-30 00:12:34,Add test to the Amoeba plugin for the new usesPeriodicBoundaryConditions function call.,0
876329d,2014-12-30 00:17:15,Add a test to the Drude force for usesPeriodicBoundaryConditions,0
eb2e1ee,2014-12-30 00:30:23,Remove NotImplementedError -- do everything through OpenMMException,0
92d5b9a,2014-12-30 00:32:35,Small typo.,0
1b44cb9,2014-12-30 01:15:12,Fix up some of the documentation and add the usesPeriodicBoundaryConditions to the barostats and andersen thermostat.,0
ba37b26,2014-12-30 01:20:36,Update the tests of the classes I just updated.,0
ab82c96,2014-12-30 09:58:04,thermstat -> thermostat,0
b8f6d26,2015-01-02 19:20:00,Changes to bring in line with SimTK style guide.,0
1f15a91,2015-01-02 19:24:00,More } else { --> } else {,0
42c3cc0,2015-01-02 22:10:39,Add a check and raise an exception if someone tries to use a CHAMBER-style topology file with the Amber file parsers. These do *not* currently work for creating a system.,0
54d474a,2015-01-03 11:11:51,Merge pull request #762 from swails/is_periodic,0
7cdeded,2015-01-03 11:20:13,Merge pull request #764 from swails/chambercheck,0
2284ac6,2015-01-03 15:52:37,Make it so that getRandomNumberSeed by default returns a osrngseed() result  rather than some pre-set seed generated at construction time.,0
61458a5,2015-01-05 15:03:02,Beginning of CUDA support for triclinic boxes,0
e04a736,2015-01-05 15:39:31,Attempt to move the implementation of separate osrngseed() calls for each Context into the platform rather than hacked into getRandomNumberSeed...,0
92cc461,2015-01-05 16:06:21,Oops  missed one.,0
10cb26a,2015-01-05 16:08:51,Last one.,0
6eb302f,2015-01-05 17:17:35,Continuing to implement CUDA support for triclinic boxes,0
e7eb785,2015-01-06 13:57:32,CUDA support for PME with triclinic boxes,0
17c06da,2015-01-07 11:05:08,Fixed some methods that should have been marked const,0
